#qty,Digi-Key Part#,id,desc,cost
1,296-25983-5-ND,U2,IC 74HC238,0.63
1,296-9183-5-ND,U1,IC 74HC194,0.68
1,bulk,R2,220k 1/4W resistor,0.1
8,bulk,R3 R5 R7 R9 R17 R11 R13 R15,RESISTOR 330 OHM 1/4 W,0.1
8,bulk,R4 R6 R8 R10 R18 R12 R14 R16,RESISTOR 1K OHM 1/4 W,0.1
1,PPC10W-1CT-ND,R1,RESISTOR 10 OHM 1/2 W,0.37
8,2N7000_D26ZCT-ND,Q1-Q8,MOSFET 2N7000 60V 200 MA,0.4
8,F5293-ND,U3-U9,TRIAC 400V 1A TO-92 Q401E4,0.98
8,???,D9-D15,DIODE LOW VOLTAGE,0.2
8,bulk,D1-D7,5mm LED,0.2
1,bulk A26509-40-ND,P1,breakaway header 1x4,0.18
1,bulk A26509-40-ND,P2,breakaway header 1x2,0.09
1,bulk A26509-40-ND,P3,breakaway header 1x2,0.09
1,399-6575-ND,C1,CAPACITOR ALUMINUM 33 uF > 5V,0.18
8,ED1975-ND,P3-P7,Terminal Block 2 position 5.08MM pitch,0.63
1,control_driver PCB (20140304),,,17.98
